"","yearID","teamID","HR","lgID","HR_tot"
"1",1901,"BLA",24,"AL",228
"2",1901,"BOS",37,"AL",228
"3",1901,"BRO",32,"NL",227
"4",1901,"BSN",28,"NL",227
"5",1901,"CHA",32,"AL",228
"6",1901,"CHN",18,"NL",227
"7",1901,"CIN",38,"NL",227
"8",1901,"CLE",12,"AL",228
"9",1901,"DET",29,"AL",228
"10",1901,"MLA",26,"AL",228
"11",1901,"NY1",19,"NL",227
"12",1901,"PHA",35,"AL",228
"13",1901,"PHI",24,"NL",227
"14",1901,"PIT",29,"NL",227
"15",1901,"SLN",39,"NL",227
"16",1901,"WS1",33,"AL",228
"17",1902,"BLA",33,"AL",258
"18",1902,"BOS",42,"AL",258
"19",1902,"BRO",19,"NL",98
"20",1902,"BSN",14,"NL",98
"21",1902,"CHA",14,"AL",258
"22",1902,"CHN",6,"NL",98
"23",1902,"CIN",18,"NL",98
"24",1902,"CLE",33,"AL",258
"25",1902,"DET",22,"AL",258
"26",1902,"NY1",8,"NL",98
"27",1902,"PHA",38,"AL",258
"28",1902,"PHI",5,"NL",98
"29",1902,"PIT",18,"NL",98
"30",1902,"SLA",29,"AL",258
"31",1902,"SLN",10,"NL",98
"32",1902,"WS1",47,"AL",258
"33",1903,"BOS",48,"AL",184
"34",1903,"BRO",15,"NL",151
"35",1903,"BSN",25,"NL",151
"36",1903,"CHA",14,"AL",184
"37",1903,"CHN",9,"NL",151
"38",1903,"CIN",28,"NL",151
"39",1903,"CLE",31,"AL",184
"40",1903,"DET",12,"AL",184
"41",1903,"NY1",20,"NL",151
"42",1903,"NYA",18,"AL",184
"43",1903,"PHA",32,"AL",184
"44",1903,"PHI",12,"NL",151
"45",1903,"PIT",34,"NL",151
"46",1903,"SLA",12,"AL",184
"47",1903,"SLN",8,"NL",151
"48",1903,"WS1",17,"AL",184
"49",1904,"BOS",26,"AL",156
"50",1904,"BRO",15,"NL",175
"51",1904,"BSN",24,"NL",175
"52",1904,"CHA",14,"AL",156
"53",1904,"CHN",22,"NL",175
"54",1904,"CIN",21,"NL",175
"55",1904,"CLE",27,"AL",156
"56",1904,"DET",11,"AL",156
"57",1904,"NY1",31,"NL",175
"58",1904,"NYA",27,"AL",156
"59",1904,"PHA",31,"AL",156
"60",1904,"PHI",23,"NL",175
"61",1904,"PIT",15,"NL",175
"62",1904,"SLA",10,"AL",156
"63",1904,"SLN",24,"NL",175
"64",1904,"WS1",10,"AL",156
"65",1905,"BOS",29,"AL",156
"66",1905,"BRO",29,"NL",182
"67",1905,"BSN",17,"NL",182
"68",1905,"CHA",11,"AL",156
"69",1905,"CHN",12,"NL",182
"70",1905,"CIN",27,"NL",182
"71",1905,"CLE",18,"AL",156
"72",1905,"DET",13,"AL",156
"73",1905,"NY1",39,"NL",182
"74",1905,"NYA",23,"AL",156
"75",1905,"PHA",24,"AL",156
"76",1905,"PHI",16,"NL",182
"77",1905,"PIT",22,"NL",182
"78",1905,"SLA",16,"AL",156
"79",1905,"SLN",20,"NL",182
"80",1905,"WS1",22,"AL",156
"81",1906,"BOS",13,"AL",137
"82",1906,"BRO",25,"NL",126
"83",1906,"BSN",16,"NL",126
"84",1906,"CHA",7,"AL",137
"85",1906,"CHN",20,"NL",126
"86",1906,"CIN",16,"NL",126
"87",1906,"CLE",12,"AL",137
"88",1906,"DET",10,"AL",137
"89",1906,"NY1",15,"NL",126
"90",1906,"NYA",17,"AL",137
"91",1906,"PHA",32,"AL",137
"92",1906,"PHI",12,"NL",126
"93",1906,"PIT",12,"NL",126
"94",1906,"SLA",20,"AL",137
"95",1906,"SLN",10,"NL",126
"96",1906,"WS1",26,"AL",137
